city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Sutton on Hull,53.7806,-0.3047,United Kingdom,GB,"Kingston upon Hull, City of",,12649,12649
Wolverton,52.0626,-0.8102,United Kingdom,GB,Milton Keynes,,12492,12492
Barton upon Irwell,53.4760,-2.3600,United Kingdom,GB,Salford,,12462,12462
Blunsdon Saint Andrew,51.6100,-1.7900,United Kingdom,GB,Swindon,,12414,12414
Coseley,52.5500,-2.0830,United Kingdom,GB,Dudley,,12357,12357
Ovenden,53.7432,-1.8779,United Kingdom,GB,Calderdale,,12351,12351
Chepstow,51.6420,-2.6750,United Kingdom,GB,Monmouthshire,,12350,12350
Lye,52.4590,-2.1160,United Kingdom,GB,Dudley,,12346,12346
Giffnock,55.8051,-4.2946,United Kingdom,GB,East Renfrewshire,,12300,12300
Thatto Heath,53.4352,-2.7481,United Kingdom,GB,St. Helens,,12280,12280
Sedgley,52.5400,-2.1230,United Kingdom,GB,Dudley,,12087,12087
Minehead,51.2038,-3.4738,United Kingdom,GB,Somerset,,11981,11981
Snaresbrook,51.5870,0.0146,United Kingdom,GB,Redbridge,,11868,11868
Sandown,50.6551,-1.1541,United Kingdom,GB,Isle of Wight,,11868,11868
Hoyland Nether,53.4985,-1.4406,United Kingdom,GB,Barnsley,,11852,11852
Hackney,51.5414,-0.0266,United Kingdom,GB,Hackney,,11734,11734
Wallingford,51.5990,-1.1250,United Kingdom,GB,Oxfordshire,,11600,11600
Belgrave,52.6566,-1.1262,United Kingdom,GB,Leicester,,11558,11558
Wanstead,51.5778,0.0286,United Kingdom,GB,Redbridge,,11543,11543
Blundellsands,53.4800,-3.0500,United Kingdom,GB,Sefton,,11514,11514
Brislington,51.4316,-2.5439,United Kingdom,GB,"Bristol, City of",,11511,11511
Culcheth,53.4517,-2.5218,United Kingdom,GB,Warrington,,11454,11454
Sandridge,51.7808,-0.3038,United Kingdom,GB,Hertfordshire,,11451,11451
Holyhead,53.3090,-4.6330,United Kingdom,GB,Isle of Anglesey,,11431,11431
Haydock,53.4678,-2.6609,United Kingdom,GB,St. Helens,,11416,11416
Wealdstone,51.5957,-0.3352,United Kingdom,GB,Brent,,11394,11394
